position_bucket,mean_norm_pos,fingerprint,step0_influence_at_answer,trained_accuracy,trained_logprob
0.02,0.0276,0.212006,0.168965,0.2,-0.0
0.05,0.0578,0.147142,0.11908,0.16,-0.0
0.1,0.1067,0.094935,0.092578,0.16,-0.0
0.2,0.206,0.068165,0.067558,0.08,-0.0022
0.35,0.3547,0.053267,0.052364,0.02,-0.0002
0.5,0.5026,0.046655,0.046164,0.04,-0.0038
0.65,0.6511,0.043336,0.043044,0.06,-0.0002
0.8,0.7998,0.041797,0.0418,0.04,-0.0001
0.9,0.899,0.041389,0.042259,0.12,-0.0
0.95,0.948,0.041241,0.041164,0.1,-0.0
0.98,0.9782,0.041156,0.041131,0.1,-0.0423
