position_bucket,n,mean_norm_pos,influence_at_answer,influence_surrounding,peak_to_trough,middle_influence_mass
0.02,2,0.050980392156862744,0.008175693001248874,0.001070321348379366,29.79539694655261,0.11980779412844476
0.05,2,0.08039215686274509,1.6674472130835056,0.23637289088219404,130.19897276224515,0.02226108765526401
0.1,2,0.12745098039215685,0.015360861129011028,0.003300834874607972,44.959729901202074,0.055782919225996944
0.2,2,0.2235294117647059,0.22893737687263638,0.024396099208388478,48.398760163564376,0.06412227465109605
0.35,2,0.3686274509803922,0.12463512644171715,0.029105693305609748,54.20587182443017,0.09579558674879422
0.5,2,0.5117647058823529,0.08437189552932978,0.011125798569992185,36.620579169687424,0.587400084762845
0.65,2,0.6549019607843137,0.03159218645305373,0.005787971553218085,22.003424600122287,0.14777583429141952
0.8,2,0.8,0.016973518126178533,0.001545742343296297,17.927719071772028,0.08466561777168324
0.9,2,0.8941176470588236,0.12297612242400646,0.0161750327097252,42.57311083480594,0.06279539422044635
0.95,2,0.9431372549019608,0.02035806654021144,0.0023248635698109865,28.72514972906138,0.11131242421284498
0.98,2,0.9725490196078431,0.045466064009815454,0.009505625668680295,22.347316225752447,0.07890717638433896
